Depth_in_core	Age_BP	Sr/Ca	Sr/Ca_200	Sr/Ca_SE	Sr/Ca_T	d18O	d18O_200	d18O_SE	d18Osw	d18Osw_200	d18Osw_SE	Ba/Ca	Ba/Ca_200	Ba/Ca_SE	d13C	d13C_200	d13C_SE	B/Ca	B/Ca_200	B/Ca_SE
112	4465.8	9.19	9.07	0.04	23.18	-5.59	-5.46	0.16	-2.8	-1.1	0.44	3.98	4.22	0.28	-2.4	-2.45	0.19	1.15	1.87	0.19
114	4487.5	9.17	9.07	0.04	23.29	-5.35	-5.45	0.16	0.23	-1.11	0.42	2.09	4.16	0.27	-2.53	-2.43	0.18	2.64	1.91	0.19
118	4530.8	8.98	8.94	0.04	25.36	-5.85	-5.5	0.14	-0.65	-1.06	0.28	3.98	3.82	0.26	-2.68	-2.23	0.14	1.68	1.9	0.14
118	4530.8	8.93	8.94	0.04	25.36	-6.3	-5.5	0.14	-2.81	-1.06	0.28	5.68	3.82	0.26	-3.15	-2.23	0.14	1.13	1.9	0.14
119	4541.6	9	8.94	0.04	25.37	-5.42	-5.48	0.14	-3.35	-1.05	0.28	4.34	3.81	0.26	-2.15	-2.19	0.14	1.75	1.88	0.15
120	4552.5	9.15	8.94	0.04	25.44	-5.54	-5.49	0.14	-1.63	-1.06	0.3	4.4	3.75	0.27	-1.67	-2.2	0.14	1.82	1.89	0.15
120	4552.5	9.21	8.94	0.04	25.44	-5.54	-5.49	0.14	-1.7	-1.06	0.3	4.08	3.75	0.27	-0.98	-2.2	0.14	1.71	1.89	0.15
120	4552.5	9.18	8.94	0.04	25.44	-4.71	-5.49	0.14	-0.58	-1.06	0.3	4.3	3.75	0.27	-2.61	-2.2	0.14	1.88	1.89	0.15
123	4584.9	8.94	8.94	0.04	25.45	-5.29	-5.47	0.16	-1.28	-1.23	0.26	3.12	3.82	0.3	-2.1	-2.18	0.16	2.7	1.87	0.16
124	4595.8	9.28	8.93	0.04	25.6	-5.16	-5.47	0.16	-1.92	-1.28	0.26	4.78	3.88	0.3	-0.77	-2.17	0.16	1.29	1.84	0.16
125	4606.6	8.96	8.94	0.04	25.44	-6.27	-5.46	0.16	-2.05	-1.22	0.26	4.5	3.89	0.29	-1.83	-2.17	0.16	1.58	1.82	0.16
125	4606.6	8.79	8.94	0.04	25.44	-5.4	-5.46	0.16	-0.12	-1.22	0.26	3.42	3.89	0.29	-1.18	-2.17	0.16	1.46	1.82	0.16
126	4606.9	9.01	8.94	0.04	25.44	-4.93	-5.46	0.16	-1.81	-1.22	0.26	3.48	3.89	0.29	-0.94	-2.17	0.16	2.1	1.82	0.16
127	4607.3	8.83	8.94	0.04	25.44	-5	-5.46	0.16	2.36	-1.22	0.26	0.11	3.89	0.29	-2.37	-2.17	0.16	2.95	1.82	0.16
130	4608.3	8.81	8.94	0.04	25.44	-5.49	-5.46	0.16	-1.78	-1.22	0.26	2.92	3.89	0.29	-2.16	-2.17	0.16	1.91	1.82	0.16
131	4608.6	8.88	8.94	0.04	25.44	-6.02	-5.46	0.16	-0.9	-1.22	0.26	4.73	3.89	0.29	-1.98	-2.17	0.16	1.24	1.82	0.16
133	4609.3	8.86	8.94	0.04	25.44	-6.37	-5.46	0.16	-2.21	-1.22	0.26	4.54	3.89	0.29	-2.12	-2.17	0.16	1.13	1.82	0.16
133	4609.3	9.03	8.94	0.04	25.44	-4.99	-5.46	0.16	-0.49	-1.22	0.26	4.37	3.89	0.29	-2.82	-2.17	0.16	1.23	1.82	0.16
134	4609.6	9.02	8.94	0.04	25.44	-5.38	-5.46	0.16	-1.63	-1.22	0.26	4.4	3.89	0.29	-2.15	-2.17	0.16	1.25	1.82	0.16
135	4609.9	8.69	8.94	0.04	25.44	-5.43	-5.46	0.16	-0.39	-1.22	0.26	1.75	3.89	0.29	-2.6	-2.17	0.16	2.21	1.82	0.16
139	4611.3	8.77	8.94	0.04	25.44	-6.02	-5.46	0.16	-2.11	-1.22	0.26	3.27	3.89	0.29	-2.41	-2.17	0.16	1.95	1.82	0.16
141	4611.9	8.9	8.94	0.04	25.44	-5.22	-5.46	0.16	-1.94	-1.22	0.26	4.74	3.89	0.29	-1.55	-2.17	0.16	1.65	1.82	0.16
142	4612.3	8.51	8.94	0.04	25.44	-5.67	-5.46	0.16	-2.05	-1.22	0.26	5.45	3.89	0.29	-3.24	-2.17	0.16	3.48	1.82	0.16
142	4612.3	8.63	8.94	0.04	25.44	-5.42	-5.46	0.16	-1.33	-1.22	0.26	2.74	3.89	0.29	-2.68	-2.17	0.16	2.85	1.82	0.16
145	4613.3	8.71	8.94	0.04	25.44	-6.25	-5.46	0.16	-1.32	-1.22	0.26	1.5	3.89	0.29	-3.09	-2.17	0.16	2.38	1.82	0.16
147	4627.5	8.79	8.93	0.04	25.48	-4.71	-5.49	0.15	-0.96	-1.23	0.24	2.81	3.9	0.27	-2.83	-2.25	0.16	1.7	1.82	0.15
148	4634.7	9.1	8.93	0.04	25.51	-5.03	-5.45	0.16	-1.54	-1.19	0.25	4.89	3.84	0.28	-2.38	-2.2	0.17	1.21	1.86	0.16
152	4663.2	9.15	8.9	0.04	26.06	-4.82	-5.5	0.17	0.8	-1.11	0.26	6.64	3.69	0.32	-1.89	-2.3	0.17	1.64	1.89	0.18
158	4706	9.19	8.89	0.05	26.21	-5.28	-5.58	0.17	0.41	-1.13	0.28	4.22	3.65	0.32	-2.34	-2.45	0.17	1.21	1.87	0.17
