year	SST_NINO3.4_RECONSTRUTED
1486	0.08675143166
1487	-0.4742307187
1488	0.218333681
1489	0.4727808955
1490	0.05505640295
1491	-0.0999596772
1492	0.96155983
1493	0.2186784453
1494	0.8473696298
1495	0.9799765451
1496	0.8015070845
1497	0.1725344086
1498	0.4767517305
1499	1.248886439
1500	0.09561314857
1501	-0.3671630353
1502	-0.04496269053
1503	-0.2419666622
1504	0.08090354134
1505	0.979926704
1506	-0.4713390422
1507	-0.6865464057
1508	-0.3916718909
1509	0.02534087534
1510	0.3117403091
1511	0.8441862313
1512	-0.07609109765
1513	-0.1591876086
1514	0.308159871
1515	-0.05726617983
1516	0.2948540962
1517	-0.03777253901
1518	0.350999795
1519	-0.3466302563
1520	0.3084644587
1521	-0.5772690386
1522	-0.1995389044
1523	-0.3648713817
1524	0.3225753495
1525	-0.03969078296
1526	0.07817937435
1527	0.5012341117
1528	1.197210072
1529	0.3021134024
1530	0.2848032856
1531	-0.04098958862
1532	-0.3735555008
1533	-0.8261009525
1534	-0.1324026003
1535	-0.6773809976
1536	-0.2198687487
1537	-0.2769406339
1538	0.1888225735
1539	1.290797561
1540	-0.496905957
1541	-0.2103474991
1542	-0.4845621204
1543	-0.1963763152
1544	-0.5785998601
1545	-0.01258927577
1546	0.1571873534
1547	-0.5200592199
1548	-0.7548141769
1549	-0.1978697284
1550	0.3736753359
1551	0.22046179
1552	-0.6304112057
1553	-0.3191730478
1554	0.6875454034
1555	-0.774335872
1556	0.04791790314
1557	-0.09464583787
1558	0.09854541919
1559	-0.1894838488
1560	-0.08342979982
1561	-0.9346029868
1562	-0.4930311363
1563	-0.01341409277
1564	-0.3239973437
1565	0.3533766334
1566	-1.056287056
1567	-1.024282065
1568	-0.3496368213
1569	0.045317131
1570	-1.104917909
1571	-0.3147549939
1572	-0.79598902
1573	-1.303042088
1574	-0.4625174712
1575	-0.4246157145
1576	-0.5320776088
1577	-0.3405457173
1578	-0.3161530203
1579	-0.5563137377
1580	-0.6616640994
1581	-0.02437388496
1582	0.329054186
1583	-0.2265855253
1584	-0.6345145351
1585	-0.05122498359
1586	0.3704090741
1587	0.06527613767
1588	0.2306524426
1589	-0.2777743497
1590	0.1506308144
1591	0.4882524441
1592	-0.7277348435
1593	0.001201656276
1594	-0.1442993942
1595	-0.434486484
1596	-0.1989444015
1597	-0.2610875903
1598	-0.54892413
1599	-0.876439117
1600	-0.5030630055
1601	-0.215160995
1602	0.9027090148
1603	-0.9897431279
1604	-0.611889851
1605	-0.208523048
1606	-0.2044681639
1607	0.309179743
1608	0.1219206239
1609	0.1778530362
1610	-0.09362317634
1611	-0.4807502392
1612	-0.8879124468
1613	-0.1496682935
1614	-0.5603931193
1615	-0.1586866621
1616	-0.2568120164
1617	-0.1151577902
1618	-0.3430392545
1619	0.0647813591
1620	0.4109323798
1621	-0.5953470377
1622	-0.2043252571
1623	0.2437128367
1624	-0.5986025441
1625	-0.2829988999
1626	-0.3666364316
1627	0.601966675
1628	0.6574889685
1629	-0.6527772083
1630	-0.337361726
1631	0.4525190871
1632	0.4190108167
1633	1.076127075
1634	0.8139764865
1635	0.1212762336
1636	-0.3048820571
1637	-0.483114285
1638	-0.3194709125
1639	-0.8583759198
1640	-0.4356863215
1641	-0.3051415925
1642	-0.3719051477
1643	-0.1739827893
1644	-0.4524525689
1645	-0.08012237635
1646	-0.1230168574
1647	-0.01722919326
1648	-0.02733318679
1649	1.029085077
1650	0.2917588911
1651	0.4350920414
1652	0.5714044781
1653	0.5888475921
1654	-0.07360370021
1655	0.257499174
1656	0.06792228452
1657	0.6572598524
1658	-0.3529467743
1659	-0.7809428086
1660	0.1085131006
1661	-0.2958439623
1662	-1.008741343
1663	-0.5173589612
1664	-0.2223970478
1665	0.4675429538
1666	-0.8034819229
1667	0.7957669723
1668	-0.09920928137
1669	-0.2506990647
1670	-0.8176009576
1671	-0.8521506024
1672	0.3153753273
1673	-0.5228138027
1674	-0.6676003524
1675	-0.9507145695
1676	0.35153558
1677	-0.3333877961
1678	-0.1678895916
1679	-0.4101052492
1680	-0.09938691939
1681	-0.1939549783
1682	0.3086461623
1683	-0.08794706727
1684	0.09863640998
1685	-0.5355581227
1686	0.05892694689
1687	1.35056882
1688	0.8984153568
1689	0.6144589738
1690	0.1753420518
1691	-0.4971909277
1692	0.1598202349
1693	0.8508931214
1694	0.8283232656
1695	-0.1273004229
1696	0.4011961129
1697	-0.8781060876
